id,libelle,depute,et_depute,contexte
1301,1ère circonscription,Julien Ravier,LR,"Dans cette partie Est de Marseille, le RN a de bonnes bases pour une qualification au second tour. La majorité présidentielle essaiera de renverser l'une des rares circonscriptions conservées par LR en 2017."
1302,2e circonscription,Claire Pitollat,Renaissance,"C'est la meilleure circonscription pour la majorité présidentielle. Parmi les rares figures de la droite locale demeurées chez LR et en lice pour cette élection, Sabine Bernasconi devra prouver son ancrage local."
1303,3e circonscription,Alexandra Louis,Renaissance,"Le retour de la gauche, comme avant 2017 ? L'extrême-droite, qui rêve de capitaliser sur ses victoires de 2014 et 2021 dans ce secteur ? Ou la députée sortante, issue de la majorité présidentielle ? Cette circonscription sera l'une des plus disputées les 12 et 19 juin."
1304,4e circonscription,Jean-Luc Mélenchon,LFI,"La France insoumise dans son fauteuil ? Dans cette circonscription du centre-ville soufflée par Jean-Luc Mélenchon au socialiste Patrick Mennucci en 2017, l'absence de candidature alternative solide à l'union de la gauche promet un score canon."
1305,5e circonscription,Cathy Racon-Bouzon,Renaissance,"La bataille avait été âpre en 2017 entre la droite, la majorité présidentielle et la gauche. Cette dernière paraît renforcée par la dynamique électorale et le contexte d'union, menaçant un siège de la majorité présidentielle."
1306,6e circonscription,Guy Teissier,LR,"C'est la circonscription où la recomposition de la droite locale apparaît le plus clairement. Le maire des 9/10 rallié à la majorité présidentielle affrontera le dauphin du sortant LR Guy Teissier, avec l'extrême-droite en embuscade."
1307,7e circonscription,Saïd Ahamada,Renaissance,"Traditionnellement éclatée dans cet ancien bastion communiste revendiqué par plusieurs personnalités, la gauche affiche une unité dont l'efficacité devrait être fatale pour le sortant Renaissance."
1308,8e circonscription,Jean-Marc Zulesi,Renaissance,Le RN retente sa chance dans une des six circonscriptions où il avait réussi à passer au second tour en 2017. Le sortant Renaissance part avec un coup d'avance pour figurer à l'affiche le 19 juin.
1309,9e circonscription,Bernard Deflesselles,LR,"C'est l'une des nombreuses circonscriptions dont le siège est laissé vacant par le sortant. Conservée de haute lutte par LR en 2017, elle fait partie des cibles de conquête pour la majorité présidentielle."
1310,10e circonscription,François-Michel Lambert,LET,"Le jeu semble très ouvert sur fond de progression constante du RN, à Gardanne comme à Allauch et Plan-de-Cuques, avec l'élément supplémentaire de l'absence de candidature du sortant."
1311,11e circonscription,Mohamed Laqhila,Modem,"Terre de domination macroniste dans les élections nationales, Aix-en-Provence va-t-elle reconduire ses deux députés ? Le contrepoint périurbain où le RN est plus fort pèsera dans l'équation mais c'est clairement l'un des socles sur lequel la majorité présidentielle peut s'appuyer."
1312,12e circonscription,Éric Diard,LR,"C'est l'un de deux sortants LR encore en lice. Dans ce territoire marqué par les expériences de gestion d'extrême-droite à Marignane et Vitrolles, l'échec avait été rude en 2017 pour le parti de Marine Le Pen. Son secrétaire départemental tentera de retenir le maximum de voix de la présidentielle. "
1313,13e circonscription,Pierre Dharréville,PC,Le dernier député communiste du département semble conforté par l'union de la gauche. Il mesurera l'impact de l'affaire qui secoue Martigues depuis plusieurs mois. Là aussi le RN espère un duel supplémentaire.
1314,14e circonscription,Anne-Laurence Petel,Renaissance,"Terre de domination macroniste dans les élections nationales, Aix-en-Provence va-t-elle reconduire ses deux députés ? Cette jumelle de la 11e circonscription est encore plus favorable à la majorité présidentielle et c'est dans le qualifié du second tour qui lui disputera que réside l'enjeu."
1315,15e circonscription,Bernard Reynès,LR,C'est l'un de deux sortants LR encore en lice dans ce territoire où le RN est le principal rival à la droite traditionnelle.
1316,16e circonscription,Monica Michel,Renaissance,"La représentante de la majorité présidentielle, qui prend la suite de la sortante, n'aura pas la tâche aisée face à une gauche unie et une extrême-droite en progression."
